quiz_slug,quiz_title_ru,quiz_title_ro,quiz_description_ru,quiz_description_ro,question_ru,question_ro,option1_ru,option1_ro,option2_ru,option2_ro,option3_ru,option3_ro,option4_ru,option4_ro,correct_answer,explanation_ru,explanation_ro
upper-limb-muscles,Мышцы верхней конечности,Mușchii membrului superior,Тест на знание мышц плеча и предплечья,Test pentru cunoașterea mușchilor brațului și antebrațului,Какая мышца отвечает за сгибание предплечья?,Care mușchi este responsabil pentru flexia antebrațului?,Бицепс плеча,Bicepsul brahial,Трицепс плеча,Tricepsul brahial,Дельтовидная мышца,Mușchiul deltoid,Трапециевидная мышца,Mușchiul trapez,0,Бицепс плеча (двуглавая мышца) - главный сгибатель предплечья,Bicepsul brahial (mușchiul biceps) este principalul flexor al antebrațului
upper-limb-muscles,Мышцы верхней конечности,Mușchii membrului superior,Тест на знание мышц плеча и предплечья,Test pentru cunoașterea mușchilor brațului și antebrațului,Сколько головок имеет трицепс плеча?,Câte capete are tricepsul brahial?,Одну,Unul,Две,Două,Три,Trei,Четыре,Patru,2,Трицепс плеча имеет три головки: длинную латеральную и медиальную,Tricepsul brahial are trei capete: cap lung lateral și medial
upper-limb-muscles,Мышцы верхней конечности,Mușchii membrului superior,Тест на знание мышц плеча и предплечья,Test pentru cunoașterea mușchilor brațului și antebrațului,Какая мышца образует округлость плеча?,Care mușchi formează rotunjimea umărului?,Бицепс,Bicepsul,Трицепс,Tricepsul,Дельтовидная,Deltoidul,Большая грудная,Marele pectoral,2,Дельтовидная мышца покрывает плечевой сустав и образует округлость плеча,Mușchiul deltoid acoperă articulația umărului și formează rotunjimea acestuia
upper-limb-muscles,Мышцы верхней конечности,Mușchii membrului superior,Тест на знание мышц плеча și предплечья,Test pentru cunoașterea mușchilor brațului și antebrațului,Какая мышца разгибает предплечье?,Care mușchi extinde antebrațul?,Бицепс плеча,Bicepsul brahial,Трицепс плеча,Tricepsul brahial,Плечевая мышца,Mușchiul brahial,Клювовидно-плечевая,Coracobrahialul,1,Трицепс плеча - главный разгибатель предплечья,Tricepsul brahial este principalul extensor al antebrațului
upper-limb-muscles,Мышцы верхней конечности,Mușchii membrului superior,Тест на знание мышц плеча и предплечья,Test pentru cunoașterea mușchilor brațului și antebrațului,Какая мышца сгибает и супинирует предплечье?,Care mușchi flexează și supinează antebrațul?,Пронатор круглый,Pronatorul rotund,Супинатор,Supinatorul,Бицепс плеча,Bicepsul brahial,Плечелучевая,Brahioradialul,2,Бицепс плеча выполняет две функции: сгибание и супинацию предплечья,Bicepsul brahial îndeplinește două funcții: flexia și supinația antebrațului
lower-limb-bones,Кости нижней конечности,Oasele membrului inferior,Проверьте знания костей ноги и стопы,Testați cunoștințele despre oasele piciorului și labei,Самая длинная кость человеческого тела?,Cel mai lung os din corpul uman?,Большеберцовая кость,Tibia,Бедренная кость,Femur,Малоберцовая кость,Fibula,Плечевая кость,Humerus,1,Бедренная кость (femur) - самая длинная и прочная кость в теле человека,Femur este cel mai lung și mai puternic os din corpul uman
lower-limb-bones,Кости нижней конечности,Oasele membrului inferior,Проверьте знания костей ноги и стопы,Testați cunoștințele despre oasele piciorului și labei,Сколько костей в стопе человека?,Câte oase sunt în piciorul uman?,20,20,26,26,32,32,28,28,1,В стопе человека 26 костей: 7 костей предплюсны 5 плюсневых и 14 фаланг,Piciorul uman conține 26 de oase: 7 oase tarsiene 5 metatarsiene și 14 falange
lower-limb-bones,Кости нижней конечности,Oasele membrului inferior,Проверьте знания костей ноги и стопы,Testați cunoștințele despre oasele piciorului și labei,Какая кость не участвует в образовании коленного сустава?,Care os nu participă la formarea articulației genunchiului?,Бедренная кость,Femur,Большеберцовая кость,Tibia,Малоберцовая кость,Fibula,Надколенник,Rotula,2,Малоберцовая кость не участвует в образовании коленного сустава,Fibula nu participă la formarea articulației genunchiului
lower-limb-bones,Кости нижней конечности,Oasele membrului inferior,Проверьте знания костей ноги и стопы,Testați cunoștințele despre oasele piciorului și labei,Самая крупная кость предплюсны?,Cel mai mare os tarsian?,Таранная кость,Talus,Пяточная кость,Calcaneul,Ладьевидная кость,Navicular,Кубовидная кость,Cuboid,1,Пяточная кость (calcaneus) - самая крупная кость стопы,Calcaneul este cel mai mare os al piciorului
lower-limb-bones,Кости нижней конечности,Oasele membrului inferior,Проверьте знания костей ноги и стопы,Testați cunoștințele despre oasele piciorului și labei,Какая кость образует медиальную лодыжку?,Care os formează maleola medială?,Малоберцовая кость,Fibula,Большеберцовая кость,Tibia,Таранная кость,Talus,Бедренная кость,Femur,1,Большеберцовая кость образует медиальную (внутреннюю) лодыжку,Tibia formează maleola medială (interioară)
